id,description,recipe_id,measure,parsedName,quantity,cleanDescription,,Store Section
286,"2 (1 pound) packages firm tofu, drained",2397,,(1 pound) packages firm tofu,2,"2 (1 pound) packages firm tofu, drained",,
287,"3 tablespoons peanut oil, divided",2397,tablespoon,peanut oil,3,"3 tablespoons peanut oil, divided",,
288,1 teaspoon sesame oil,2397,teaspoon,sesame oil,1,1 teaspoon sesame oil,,
289,"4  green bell peppers, chopped",2397,,,,"4  green bell peppers, chopped",,
290,"2 large onions, diced",2397,,onions,2,"2 large onions, diced",,
291,"2  carrots, diced",2397,,,,"2  carrots, diced",,
292,"1 bunch green onions, sliced thin",2397,bunch,green onions,1,"1 bunch green onions, sliced thin",,
293,"4 cloves garlic, minced",2397,clove,garlic,4,"4 cloves garlic, minced",,
294,"¼ cup natural, unsalted peanut butter",2397,cup,"natural, unsalted peanut butter",4-Jan,"1/4 cup natural, unsalted peanut butter",,
295,2 tablespoons water,2397,tablespoon,water,2,2 tablespoons water,,
296,"2 teaspoons sriracha sauce, or more to taste",2397,teaspoon,sriracha sauce,2,"2 teaspoons sriracha sauce, or more to taste",,
297,2 teaspoons soy sauce,2397,teaspoon,soy sauce,2,2 teaspoons soy sauce,,
298,"1 teaspoon salt, or more to taste",2397,teaspoon,salt,1,"1 teaspoon salt, or more to taste",,
299,½ teaspoon ground black pepper,2397,teaspoon,black pepper,2-Jan,1/2 teaspoon ground black pepper,,
300,5 cups cauliflower florets,751,cup,cauliflower florets,5,5 cups cauliflower florets,,
301,5 cups broccoli florets,751,cup,broccoli florets,5,5 cups broccoli florets,,
302,"1 pound fresh asparagus, trimmed and halved",751,pound,asparagus,1,"1 pound fresh asparagus, trimmed and halved",,
303,"4 medium carrots, cut into matchsticks",751,,carrots,4,"4 medium carrots, cut into matchsticks",,
304,"1 medium red bell pepper, cut into matchsticks",751,,red bell pepper,1,"1 medium red bell pepper, cut into matchsticks",,
305,"1 medium red onion, sliced and separated into rings",751,,red onion,1,"1 medium red onion, sliced and separated into rings",,
306,½ cup olive oil,751,cup,olive oil,2-Jan,1/2 cup olive oil,,
307,3 tablespoons lemon juice,751,tablespoon,lemon juice,3,3 tablespoons lemon juice,,
308,"3 cloves garlic, minced",751,clove,garlic,3,"3 cloves garlic, minced",,
309,"1 tablespoon dried rosemary, crushed",751,tablespoon,rosemary,1,"1 tablespoon dried rosemary, crushed",,
310,1 teaspoon salt,751,teaspoon,salt,1,1 teaspoon salt,,
311,1 teaspoon ground black pepper,751,teaspoon,black pepper,1,1 teaspoon ground black pepper,,
312,¾ cup pecan halves,1796,cup,pecan halves,4-Mar,3/4 cup pecan halves,,
313,¾ cup rolled oats,1796,cup,oats,4-Mar,3/4 cup rolled oats,,
314,¾ cup whole wheat pastry flour,1796,cup,whole wheat pastry flour,4-Mar,3/4 cup whole wheat pastry flour,,
315,½ teaspoon ground cinnamon,1796,teaspoon,cinnamon,2-Jan,1/2 teaspoon ground cinnamon,,
316,1 pinch salt,1796,pinch,salt,1,1 pinch salt,,
317,¼ cup vegetable oil,1796,cup,vegetable oil,4-Jan,1/4 cup vegetable oil,,
318,3 tablespoons real maple syrup,1796,tablespoon,maple syrup,3,3 tablespoons real maple syrup,,
319,1 cup soy milk,1796,cup,soy milk,1,1 cup soy milk,,
320,¼ cup arrowroot powder,1796,cup,arrowroot powder,4-Jan,1/4 cup arrowroot powder,,
321,1 (15 ounce) can pumpkin puree,1796,,pumpkin puree,1,1 (15 ounce) can pumpkin puree,,
322,½ cup real maple syrup,1796,cup,maple syrup,2-Jan,1/2 cup real maple syrup,,
323,1 tablespoon grated fresh ginger,1796,tablespoon,ginger,1,1 tablespoon grated fresh ginger,,
324,1 ½ teaspoons ground cinnamon,1796,,,,1 1/2 teaspoons ground cinnamon,,
325,½ teaspoon salt,1796,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
326,¼ teaspoon freshly grated nutmeg,1796,teaspoon,nutmeg,4-Jan,1/4 teaspoon freshly grated nutmeg,,
327,⅛ teaspoon ground cloves,1796,teaspoon,cloves,,1/8 teaspoon ground cloves,,
328,3 cups water,152,cup,water,3,3 cups water,,
329,1 ½ cups hard red winter wheat berries,152,,,,1 1/2 cups hard red winter wheat berries,,
330,2 cups butternut squash cut into 1-inch cubes,152,cup,butternut squash,2,2 cups butternut squash cut into 1-inch cubes,,
331,"2 tablespoons extra-virgin olive oil, divided",152,tablespoon,olive oil,2,"2 tablespoons extra-virgin olive oil, divided",,
332,3 tablespoons orange juice,152,tablespoon,orange juice,3,3 tablespoons orange juice,,
333,1 tablespoon pure maple syrup,152,tablespoon,maple syrup,1,1 tablespoon pure maple syrup,,
334,"1 large orange, zested",152,,orange,1,"1 large orange, zested",,
335,½ cup chopped fresh parsley,152,cup,parsley,2-Jan,1/2 cup chopped fresh parsley,,
336,¾ cup dried cranberries,152,cup,cranberries,4-Mar,3/4 cup dried cranberries,,
337,¼ cup sliced almonds  (Optional),152,,,,1/4 cup sliced almonds  (Optional),,
338,1 tablespoon peanut oil,2399,tablespoon,peanut oil,1,1 tablespoon peanut oil,,
339,"1 small head broccoli, chopped",2399,head,broccoli,1,"1 small head broccoli, chopped",,
340,"1 small red bell pepper, chopped",2399,,red bell pepper,1,"1 small red bell pepper, chopped",,
341,"5  fresh mushrooms, sliced",2399,,,,"5  fresh mushrooms, sliced",,
342,"1 pound firm tofu, cubed",2399,pound,firm tofu,1,"1 pound firm tofu, cubed",,
343,½ cup peanut butter,2399,cup,peanut butter,2-Jan,1/2 cup peanut butter,,
344,½ cup hot water,2399,cup,water,2-Jan,1/2 cup hot water,,
345,2 tablespoons vinegar,2399,tablespoon,vinegar,2,2 tablespoons vinegar,,
346,2 tablespoons soy sauce,2399,tablespoon,soy sauce,2,2 tablespoons soy sauce,,
347,1 ½ tablespoons molasses,2399,,,,1 1/2 tablespoons molasses,,
348,ground cayenne pepper to taste,2399,,cayenne pepper,,ground cayenne pepper to taste,,
349,"3 large cucumbers, peeled and diced",2677,,cucumbers,3,"3 large cucumbers, peeled and diced",,
350,¾ cup vegan mayonnaise (such as Follow Your Heart® Veganaise®),2677,,,,3/4 cup vegan mayonnaise (such as Follow Your Heart® Veganaise®),,
351,"3 stalks celery, diced",2677,stalk,celery,3,"3 stalks celery, diced",,
352,"½  lemon, juiced",2677,,,,"1/2  lemon, juiced",,
353,¾ cup minced fresh dill,2677,cup,dill,4-Mar,3/4 cup minced fresh dill,,
354,"2 tablespoons fresh garlic, minced",2677,tablespoon,garlic,2,"2 tablespoons fresh garlic, minced",,
355,1 teaspoon pink Himalayan salt,2677,teaspoon,pink Himalayan salt,1,1 teaspoon pink Himalayan salt,,
356,1 teaspoon ground black pepper,2677,teaspoon,black pepper,1,1 teaspoon ground black pepper,,
357,½ teaspoon dried dill weed,2677,teaspoon,dill weed,2-Jan,1/2 teaspoon dried dill weed,,
358,2 cups almond milk,308,cup,almond milk,2,2 cups almond milk,,
359,3  cinnamon sticks,308,,,,3  cinnamon sticks,,
360,1 tablespoon coconut oil  (Optional),308,,,,1 tablespoon coconut oil  (Optional),,
361,1 (14 ounce) can full-fat coconut milk,308,,(14 ounce) can full-fat coconut milk,1,1 (14 ounce) can full-fat coconut milk,,
362,¼ cup raw honey,308,cup,raw honey,4-Jan,1/4 cup raw honey,,
363,¼ cup spiced rum,308,cup,spiced rum,4-Jan,1/4 cup spiced rum,,
364,1 teaspoon vanilla extract,308,teaspoon,vanilla extract,1,1 teaspoon vanilla extract,,
365,"½ pound French green lentils, rinsed and drains",2793,pound,lentils,2-Jan,"1/2 pound French green lentils, rinsed and drains",,
366,"1 (15.25 ounce) can low-sodium corn, drained",2793,,,1,"1 (15.25 ounce) can low-sodium corn, drained",,
367,"1 (15 ounce) can dark red kidney beans, drained",2793,,can dark red kidney beans,1,"1 (15 ounce) can dark red kidney beans, drained",,
368,"1 bunch Italian parsley, chopped",2793,bunch,Italian parsley,1,"1 bunch Italian parsley, chopped",,
369,½ cup olive oil,2793,cup,olive oil,2-Jan,1/2 cup olive oil,,
370,½ cup red wine vinegar,2793,cup,red wine vinegar,2-Jan,1/2 cup red wine vinegar,,
371,3 tablespoons raw sugar,2793,tablespoon,sugar,3,3 tablespoons raw sugar,,
372,salt and ground black pepper to taste,2793,,salt and black pepper,,salt and ground black pepper to taste,,
373,4 bunches carrots with tops,372,bunch,carrots,4,4 bunches carrots with tops,,
374,2 tablespoons toasted sesame seeds,372,tablespoon,sesame seeds,2,2 tablespoons toasted sesame seeds,,
375,1 tablespoon rice vinegar,372,tablespoon,rice vinegar,1,1 tablespoon rice vinegar,,
376,1 tablespoon sesame oil,372,tablespoon,sesame oil,1,1 tablespoon sesame oil,,
377,1 ½ teaspoons soy sauce,372,,,,1 1/2 teaspoons soy sauce,,
378,⅛ teaspoon white sugar,372,teaspoon,white sugar,,1/8 teaspoon white sugar,,
379,½ cup sliced almonds,372,cup,almonds,2-Jan,1/2 cup sliced almonds,,
380,1 cup water,2913,cup,water,1,1 cup water,,
381,"1 tablespoon instant coffee, or as needed",2913,tablespoon,coffee,1,"1 tablespoon instant coffee, or as needed",,
382,1 teaspoon oil for greasing,2913,teaspoon,oil,1,1 teaspoon oil for greasing,,
383,2 ¾ cups all-purpose flour,2913,,,,2 3/4 cups all-purpose flour,,
384,1 cup white sugar,2913,cup,white sugar,1,1 cup white sugar,,
385,2 ½ teaspoons pumpkin pie spice,2913,,,,2 1/2 teaspoons pumpkin pie spice,,
386,1 ½ teaspoons baking powder,2913,,,,1 1/2 teaspoons baking powder,,
387,1 teaspoon salt,2913,teaspoon,salt,1,1 teaspoon salt,,
388,½ teaspoon ground cinnamon,2913,teaspoon,cinnamon,2-Jan,1/2 teaspoon ground cinnamon,,
389,½ teaspoon nutmeg,2913,teaspoon,nutmeg,2-Jan,1/2 teaspoon nutmeg,,
390,½ teaspoon ground ginger,2913,teaspoon,ginger,2-Jan,1/2 teaspoon ground ginger,,
391,¾ cup vegetable oil,2913,cup,vegetable oil,4-Mar,3/4 cup vegetable oil,,
392,¾ cup water,2913,cup,water,4-Mar,3/4 cup water,,
393,3 tablespoons pumpkin puree,2913,tablespoon,pumpkin puree,3,3 tablespoons pumpkin puree,,
394,1 teaspoon vanilla extract,2913,teaspoon,vanilla extract,1,1 teaspoon vanilla extract,,
395,"2 pounds Jerusalem artichokes, scrubbed and sliced 1/3-inch thick",1956,pound,Jerusalem artichokes,2,"2 pounds Jerusalem artichokes, scrubbed and sliced 1/3-inch thick",,
396,"1 large Yukon Gold potato, diced",1956,,potato,1,"1 large Yukon Gold potato, diced",,
397,6 large cloves garlic,1956,clove,garlic,6,6 large cloves garlic,,
398,"2 tablespoons olive oil, divided",1956,tablespoon,olive oil,2,"2 tablespoons olive oil, divided",,
399,sea salt and freshly ground black pepper to taste,1956,,sea salt and black pepper,,sea salt and freshly ground black pepper to taste,,
400,"8 ounces mushrooms, sliced",1956,ounce,mushrooms,8,"8 ounces mushrooms, sliced",,
401,2 tablespoons vegan margarine,1956,tablespoon,vegan margarine,2,2 tablespoons vegan margarine,,
402,"1 large onion, diced",1956,,onion,1,"1 large onion, diced",,
403,1 teaspoon sea salt,1956,teaspoon,sea salt,1,1 teaspoon sea salt,,
404,2 cups water,1956,cup,water,2,2 cups water,,
405,6 cups mushroom broth,1956,cup,mushroom broth,6,6 cups mushroom broth,,
406,1 tablespoon chopped fresh sage,1956,tablespoon,sage,1,1 tablespoon chopped fresh sage,,
407,½ cup soy milk  (Optional),1956,,,,1/2 cup soy milk  (Optional),,
408,"1 (15 ounce) can kidney beans, drained",2279,ounce can,kidney beans,1,"1 (15 ounce) can kidney beans, drained",,
409,"1 (14.5 ounce) can wax beans, drained",2279,,(14.5 ounce) can wax beans,1,"1 (14.5 ounce) can wax beans, drained",,
410,"1 (15 ounce) can lima beans, drained",2279,,lima beans,1,"1 (15 ounce) can lima beans, drained",,
411,"1 (15 ounce) can green beans, drained",2279,,green beans,1,"1 (15 ounce) can green beans, drained",,
412,"1 (15 ounce) can garbanzo beans, drained",2279,ounce,can garbanzo beans,1,"1 (15 ounce) can garbanzo beans, drained",,
413,"1  sweet onion, chopped",2279,,,,"1  sweet onion, chopped",,
414,"1  green bell pepper, chopped",2279,,,,"1  green bell pepper, chopped",,
415,"1  red bell pepper, chopped",2279,,,,"1  red bell pepper, chopped",,
416,¾ cup white sugar,2279,cup,white sugar,4-Mar,3/4 cup white sugar,,
417,⅔ cup distilled white vinegar,2279,cup,white vinegar,,2/3 cup distilled white vinegar,,
418,½ cup vegetable oil,2279,cup,vegetable oil,2-Jan,1/2 cup vegetable oil,,
419,½ teaspoon dried dill weed,2279,teaspoon,dill weed,2-Jan,1/2 teaspoon dried dill weed,,
420,½ teaspoon dried rosemary,2279,teaspoon,rosemary,2-Jan,1/2 teaspoon dried rosemary,,
421,½ teaspoon dried basil,2279,teaspoon,basil,2-Jan,1/2 teaspoon dried basil,,
422,salt to taste,2279,,salt,,salt to taste,,
423,"2 cups water, or more as needed",2125,cup,water,2,"2 cups water, or more as needed",,
424,1 ½ cups uncooked green lentils,2125,,,,1 1/2 cups uncooked green lentils,,
425,1 (15 ounce) can tomato sauce,2125,,tomato sauce,1,1 (15 ounce) can tomato sauce,,
426,1 (15 ounce) can fire-roasted diced tomatoes,2125,,tomatoes,1,1 (15 ounce) can fire-roasted diced tomatoes,,
427,"2 medium carrots, diced",2125,,carrots,2,"2 medium carrots, diced",,
428,"1 medium bell pepper, diced",2125,,medium bell pepper,1,"1 medium bell pepper, diced",,
429,"1 small onion, diced",2125,,onion,1,"1 small onion, diced",,
430,"4 cloves garlic, minced",2125,clove,garlic,4,"4 cloves garlic, minced",,
431,1 ½ tablespoons chili powder,2125,,,,1 1/2 tablespoons chili powder,,
432,2 teaspoons vegan Worcestershire sauce,2125,teaspoon,Worcestershire sauce,2,2 teaspoons vegan Worcestershire sauce,,
433,2 teaspoons rice vinegar,2125,teaspoon,rice vinegar,2,2 teaspoons rice vinegar,,
434,1 teaspoon ground cumin,2125,teaspoon,cumin,1,1 teaspoon ground cumin,,
435,1 teaspoon yellow mustard,2125,teaspoon,yellow mustard,1,1 teaspoon yellow mustard,,
436,1 teaspoon liquid smoke flavoring,2125,teaspoon,liquid smoke flavoring,1,1 teaspoon liquid smoke flavoring,,
437,½ teaspoon onion powder,2125,teaspoon,onion powder,2-Jan,1/2 teaspoon onion powder,,
438,½ teaspoon smoked paprika,2125,teaspoon,smoked paprika,2-Jan,1/2 teaspoon smoked paprika,,
439,¼ teaspoon cayenne pepper,2125,teaspoon,cayenne pepper,4-Jan,1/4 teaspoon cayenne pepper,,
440,salt and ground black pepper to taste,2125,,salt and black pepper,,salt and ground black pepper to taste,,
441,"6 large hamburger buns, split",2125,,hamburger buns,6,"6 large hamburger buns, split",,
442,4 large  oranges,560,,,,4 large  oranges,,
443,2 pounds cranberries,560,pound,cranberries,2,2 pounds cranberries,,
444,"4  apples, cored and diced with peel",560,,,,"4  apples, cored and diced with peel",,
445,4 cups white sugar,560,cup,white sugar,4,4 cups white sugar,,
446,"1 pound fresh green beans, trimmed",2180,pound,green beans,1,"1 pound fresh green beans, trimmed",,
447,2 teaspoons dry mustard powder (such as Coleman's®),2180,,,,2 teaspoons dry mustard powder (such as Coleman's®),,
448,1 ½ teaspoons cold water,2180,,,,1 1/2 teaspoons cold water,,
449,1 ½ tablespoons white vinegar,2180,,,,1 1/2 tablespoons white vinegar,,
450,1 tablespoon soy sauce,2180,tablespoon,soy sauce,1,1 tablespoon soy sauce,,
451,1 tablespoon sesame oil,2180,tablespoon,sesame oil,1,1 tablespoon sesame oil,,
452,1 tablespoon sesame seeds,2180,tablespoon,sesame seeds,1,1 tablespoon sesame seeds,,
453,1 teaspoon white sugar,2180,teaspoon,white sugar,1,1 teaspoon white sugar,,
454,1 teaspoon salt,2180,teaspoon,salt,1,1 teaspoon salt,,
455,¾ cup cashew milk,2631,cup,cashew milk,4-Mar,3/4 cup cashew milk,,
456,¼ cup quick-cooking oats,2631,cup,oats,4-Jan,1/4 cup quick-cooking oats,,
457,1 teaspoon unsweetened cocoa powder,2631,teaspoon,cocoa powder,1,1 teaspoon unsweetened cocoa powder,,
458,1 pinch salt,2631,pinch,salt,1,1 pinch salt,,
459,1 pinch ground cinnamon,2631,pinch,cinnamon,1,1 pinch ground cinnamon,,
460,"2 teaspoons maple syrup, or more to taste",2631,teaspoon,maple syrup,2,"2 teaspoons maple syrup, or more to taste",,
461,1 tablespoon vegan dark chocolate chips,2631,tablespoon,vegan dark chocolate chips,1,1 tablespoon vegan dark chocolate chips,,
462,"½  banana, sliced",2631,,,,"1/2  banana, sliced",,
463,1 (16 ounce) package dry kidney beans,3092,,dry kidney beans,1,1 (16 ounce) package dry kidney beans,,
464,"2 teaspoons salt, divided",3092,teaspoon,salt,2,"2 teaspoons salt, divided",,
465,3 ½ (6 ounce) cans tomato paste,3092,,,,3 1/2 (6 ounce) cans tomato paste,,
466,¼ cup brown sugar,3092,cup,brown sugar,4-Jan,1/4 cup brown sugar,,
467,2 tablespoons vinegar,3092,tablespoon,vinegar,2,2 tablespoons vinegar,,
468,1 tablespoon cornmeal,3092,tablespoon,cornmeal,1,1 tablespoon cornmeal,,
469,1 teaspoon ground cumin,3092,teaspoon,cumin,1,1 teaspoon ground cumin,,
470,½ teaspoon hot paprika,3092,teaspoon,paprika,2-Jan,1/2 teaspoon hot paprika,,
471,½ teaspoon ground ginger,3092,teaspoon,ginger,2-Jan,1/2 teaspoon ground ginger,,
472,2 tablespoons olive oil,724,tablespoon,olive oil,2,2 tablespoons olive oil,,
473,1 ½ teaspoons grill seasoning (such as Montreal Steak Seasoning®),724,,,,1 1/2 teaspoons grill seasoning (such as Montreal Steak Seasoning®),,
474,1 large head cauliflower,724,head,cauliflower,1,1 large head cauliflower,,
475,½ cup old-fashioned rolled oats,2903,cup,rolled oats,2-Jan,1/2 cup old-fashioned rolled oats,,
476,1 cup soy milk,2903,cup,soy milk,1,1 cup soy milk,,
477,¼ cup canned pumpkin puree,2903,cup,pumpkin puree,4-Jan,1/4 cup canned pumpkin puree,,
478,3 dashes ground cinnamon,2903,dash,cinnamon,3,3 dashes ground cinnamon,,
479,1 tablespoon chopped walnuts,2903,tablespoon,walnuts,1,1 tablespoon chopped walnuts,,
480,½ teaspoon avocado honey,2903,teaspoon,avocado honey,2-Jan,1/2 teaspoon avocado honey,,
481,"1 ½ pounds fresh green beans, trimmed",1948,,,,"1 1/2 pounds fresh green beans, trimmed",,
482,"6  shallots, peeled and thinly sliced",1948,,,,"6  shallots, peeled and thinly sliced",,
483,"5 large cloves garlic, thinly sliced",1948,clove,garlic,5,"5 large cloves garlic, thinly sliced",,
484,¼ cup sliced almonds,1948,cup,almonds,4-Jan,1/4 cup sliced almonds,,
485,"2 tablespoons olive oil, or more as needed",1948,tablespoon,olive oil,2,"2 tablespoons olive oil, or more as needed",,
486,1 teaspoon kosher salt,1948,teaspoon,salt,1,1 teaspoon kosher salt,,
487,½ teaspoon freshly ground black pepper,1948,teaspoon,black pepper,2-Jan,1/2 teaspoon freshly ground black pepper,,
488,1/4 cup Country Crock® Spread,1126,,,,1/4 cup Country Crock® Spread,,
489,1 teaspoon,1126,teaspoon,,1,1 teaspoon,,
490,½ teaspoon garlic powder,1126,teaspoon,garlic powder,2-Jan,1/2 teaspoon garlic powder,,
491,1 (12 ounce) loaf French or Italian bread,1126,loaf,bread,1,1 (12 ounce) loaf French or Italian bread,,
492,butter-flavored cooking spray,1659,,butter-flavored cooking spray,,butter-flavored cooking spray,,
493,"2 medium apples, peeled and diced",1659,,apples,2,"2 medium apples, peeled and diced",,
494,2 cups old-fashioned rolled oats,1659,cup,rolled oats,2,2 cups old-fashioned rolled oats,,
495,⅓ cup brown sugar,1659,cup,brown sugar,,1/3 cup brown sugar,,
496,2 teaspoons ground cinnamon,1659,teaspoon,cinnamon,2,2 teaspoons ground cinnamon,,
497,2 teaspoons vanilla extract,1659,teaspoon,vanilla extract,2,2 teaspoons vanilla extract,,
498,"½ teaspoon pumpkin pie spice, or more to taste",1659,teaspoon,pumpkin pie spice,2-Jan,"1/2 teaspoon pumpkin pie spice, or more to taste",,
499,4 cups water,1659,cup,water,4,4 cups water,,
500,2 quarts sweet corn kernels,538,quart,sweet corn kernels,2,2 quarts sweet corn kernels,,
