id,Store Section,cleanDescription
960,Produce,larg carrot cut matchstick
961,Produce,scallion slice
962,Oils,cup whole pit kalamata oliv
963,Oils,cup oliv oil
964,Produce,clove garlic
965,Household,cup water divid
966,Dry Goods,cup raw cashew
967,Baking Goods,tablespoon coconut oil
968,Dry Goods,tablespoon carob powder
969,Dry Goods,teaspoon cacao powder
970,Dry Goods,cup coconut milk
971,Dry Goods,cup unsweeten applesauc
972,Dry Goods,teaspoon maca powder option
973,Dry Goods,teaspoon raisin
974,Dry Goods,teaspoon mapl syrup
975,Baking Goods,cup shred coconut
976,Dry Goods,teaspoon mapl syrup
977,Baking Goods,cup coconut yogurt
978,Produce,dri fig thinli slice
979,Freezer,fresh strawberri slice
980,Refrigerator,ounc squar unsweeten chocol shave
981,Produce,bunch collard green
982,Oils,tablespoon extravirgin oliv oil
983,Household,cup basmati rice
984,Produce,sweet onion chop divid
985,Dry Goods,tablespoon pine nut
986,Produce,tablespoon minc garlic
987,Household,cup water
988,Dry Goods,cup plain meatless ground beef substitut
989,Dry Goods,teaspoon salt
990,Dry Goods,teaspoon ground black pepper
991,Dry Goods,teaspoon dri dill weed
992,Refrigerator,tablespoon lemon juic tast
993,Household,cup ketchup
994,Household,cup water
995,Produce,small tomato dice
996,Produce,red bell pepper minc
997,Produce,cup chop prune
998,Household,cup raisin
999,Produce,tablespoon minc fresh ginger root
1000,Refrigerator,teaspoon lemon zest tast
1001,Dry Goods,teaspoon salt
1002,Dry Goods,teaspoon ground black pepper
1003,Dry Goods,teaspoon mustard seed
1004,Dry Goods,cup salt cashew
1005,Oils,tablespoon oliv oil divid
1006,Produce,onion minc
1007,Produce,larg garlic clove
1008,Dry Goods,bunch kale stem remov
1009,Produce,bunch fresh spinach stem remov
1010,Dry Goods,sea salt tast
1011,Baking Goods,white pepper tast
1012,Refrigerator,ounc packag extrafirm tofu
1013,Dry Goods,tablespoon lowsodium soy sauc
1014,Produce,cup dri fine wholewheat bread crumb
1015,Dry Goods,teaspoon onion powder
1016,Dry Goods,teaspoon garlic powder
1017,Dry Goods,teaspoon dri thyme crumbl
1018,Baking Goods,oliv oil cook spray
1019,Dry Goods,cup smooth dijon mustard
1020,Dry Goods,cup pure mapl syrup
1021,Oils,tablespoon canola oil
1022,Oils,tablespoon oliv oil divid
1023,Dry Goods,head cauliflow broken floret
1024,Baking Goods,teaspoon brown sugar
1025,Dry Goods,teaspoon salt
1026,Dry Goods,teaspoon mild curri powder
1027,Oils,tablespoon oliv oil
1028,Produce,tablespoon minc garlic
1029,Produce,larg sweet onion thinli slice
1030,Produce,medium zucchini halv slice
1031,Dry Goods,ounc dice tomato
1032,Dry Goods,pinch italian season tast
1033,Dry Goods,pinch salt ground black pepper tast
1034,Dry Goods,medium head cabbag shred
1035,Produce,red bell pepper seed chop
1036,Produce,yellow bell pepper seed chop
1037,Produce,onion chop
1038,Produce,carrot grate
1039,Produce,stalk celeri chop
1040,Oils,cup cider vinegar
1041,Oils,cup veget oil
1042,Baking Goods,cup white sugar
1043,Dry Goods,teaspoon dri mustard
1044,Dry Goods,teaspoon dri dill weed
1045,Household,cup water
1046,Dry Goods,teaspoon ground cinnamon
1047,Dry Goods,dri pit prune chop
1048,Baking Goods,teaspoon sugar substitut splenda
1049,Household,cup oat bran
1050,Dry Goods,tablespoon sesam seed
1051,Dry Goods,pound fresh broccoli cut bite size piec
1052,Oils,tablespoon rice vinegar
1053,Dry Goods,tablespoon soy sauc
1054,Dry Goods,tablespoon sesam oil
1055,Baking Goods,teaspoon white sugar
1056,Produce,mango peel seed chop
1057,Produce,small banana
1058,Freezer,cup frozen raspberri
1059,Dry Goods,cup almond milk
1060,Dry Goods,cup hemp milk
1061,Dry Goods,teaspoon vanilla extract
1062,Dry Goods,teaspoon chia seed
1063,Dry Goods,teaspoon hemp seed
1064,Dry Goods,teaspoon maca powder
1065,Produce,cup peel chop zucchini
1066,Produce,cup appl peel core chop
1067,Household,cup raisin
1068,Dry Goods,cup dri currant
1069,Baking Goods,cup distil white vinegar
1070,Refrigerator,orang juic zest
1071,Baking Goods,cup brown sugar
1072,Baking Goods,cup white sugar
1073,Dry Goods,tablespoon ground cinnamon
1074,Dry Goods,teaspoon ground allspic
1075,Dry Goods,teaspoon ground clove
1076,Dry Goods,teaspoon ground nutmeg
1077,Dry Goods,teaspoon salt
1078,Household,tablespoon dri bread crumb need option
1079,Produce,pint canning jar lid ring
1080,Household,cup broccoli floret
1081,Household,cup cauliflow floret
1082,Oils,tablespoon oliv oil
1083,Dry Goods,teaspoon lemonpepp season
1084,Dry Goods,teaspoon season salt
1085,Produce,teaspoon crush red pepper flake
1086,Produce,honeydew melon peel seed cube
1087,Produce,pint grape tomato
1088,Produce,green bell pepper seed cut strip
1089,Oils,cup veget oil
1090,Refrigerator,cup lemon juic
1091,Baking Goods,tablespoon white sugar
1092,Dry Goods,tablespoon dri basil
1093,Dry Goods,teaspoon ground black pepper
1094,Baking Goods,cup brown sugar
1095,Dry Goods,cup walnut
1096,Dry Goods,tablespoon sesam seed
1097,Dry Goods,cup hull pumpkin seed
1098,Dry Goods,cup sunflow seed
1099,Dry Goods,cup raspberryflavor dri cranberri
1100,Produce,sweet potato peel cube
1101,Oils,tablespoon corn oil
1102,Dry Goods,salt pepper tast
1103,Dry Goods,ounc packag frozen corn kernel thaw
1104,Household,cup water
1105,Produce,cup fine dice celeri
1106,Produce,cup dice red onion
1107,Produce,cup shallot minc
1108,Dry Goods,tablespoon tomato past
1109,Dry Goods,teaspoon dri thyme leav
1110,Dry Goods,cup veget broth
1111,Dry Goods,bay leaf
1112,Dry Goods,teaspoon salt
1113,Produce,potato peel cube
1114,Produce,tablespoon chop fresh parsley
1115,Household,cup oldfashion roll oat
1116,Dry Goods,cup slice almond
1117,Baking Goods,cup unsweeten shred coconut
1118,Dry Goods,cup raw cashew
1119,Dry Goods,cup whole raw hazelnut
1120,Dry Goods,cup raw sunflow seed
1121,Dry Goods,cup unsalt pumpkin seed pepita
1122,Dry Goods,cup pure mapl syrup
1123,Oils,tablespoon safflow oil
1124,Dry Goods,teaspoon kosher salt
1125,Dry Goods,cup dri cranberri
1126,Dry Goods,cup dri hibiscu petal coars chop
1127,Produce,medium yellow squash
1128,Oils,cup extra virgin oliv oil
1129,Produce,clove garlic crush
1130,Dry Goods,salt pepper tast
1131,Household,cup water
1132,Dry Goods,tablespoon cacao powder
1133,Dry Goods,pinch pink himalayan salt tast
1134,Dry Goods,teaspoon stevia powder tast
1135,Baking Goods,cup coconut butter
1136,Dry Goods,tablespoon chia seed
1137,Baking Goods,cook spray
1138,Dry Goods,cup quinoa
1139,Household,cup water need
1140,Oils,cup oliv oil
1141,Produce,tablespoon chop fresh dill
1142,Produce,tablespoon chop fresh rosemari
1143,Dry Goods,teaspoon salt
1144,Dry Goods,pinch ground black pepper
1145,Dry Goods,tablespoon sesam oil
1146,Oils,tablespoon rice vinegar
1147,Produce,clove garlic minc option
1148,Dry Goods,teaspoon grate fresh ginger root option
1149,Baking Goods,tablespoon white sugar option
1150,Dry Goods,teaspoon salt
1151,Dry Goods,teaspoon black pepper
1152,Produce,larg head cabbag core shred
1153,Produce,bunch green onion thinli slice
1154,Dry Goods,cup almond sliver
1155,Dry Goods,cup toast sesam seed
1156,Dry Goods,italianflavor vegetarian sausag link field roast
1157,Oils,tablespoon oliv oil need
1158,Produce,small onion slice
1159,Produce,bunch kale torn small piec
1160,Dry Goods,salt ground black pepper tast
1161,Produce,onion chop
1162,Produce,carrot chop
1163,Produce,potato chop
1164,Produce,parsnip chop
1165,Produce,turnip chop
1166,Dry Goods,cup uncook white rice
1167,Dry Goods,teaspoon ground black pepper
1168,Dry Goods,teaspoon ground cumin
1169,Dry Goods,teaspoon salt
1170,Household,cup water
1171,Freezer,ounc fresh frozen cranberri
1172,Household,cup water
1173,Baking Goods,cup white sugar
1174,Produce,jalapeno pepper seed minc
1175,Refrigerator,teaspoon lemon juic
1176,Household,cup sherri
1177,Refrigerator,ounc packag silken tofu
1178,Dry Goods,cup cocoa powder
1179,Baking Goods,cup confection sugar
1180,Dry Goods,tablespoon vanilla extract
1181,Dry Goods,tablespoon powder nondairi creamer
1182,Dry Goods,cup light coconut milk
1183,Produce,cup chop fresh cilantro
1184,Produce,lime juic
1185,Produce,inch piec fresh ginger root minc
1186,Produce,clove garlic minc
1187,Dry Goods,tablespoon agav nectar
1188,Oils,tablespoon peanut oil
1189,Produce,red onion cut inch long strip
1190,Produce,green bell pepper cut inch long strip
1191,Produce,cup thinli slice carrot
1192,Dry Goods,cup can adzuki bean drain
1193,Produce,small mango peel cut strip
1194,Baking Goods,cup allpurpos flour
1195,Baking Goods,cup granul sugar
1196,Dry Goods,tablespoon unsweeten cocoa powder
1197,Baking Goods,teaspoon bake soda
1198,Oils,cup veget oil
1199,Dry Goods,cup almond breez origin almondmilk
1200,Dry Goods,egg
1201,Dry Goods,ounc bottl liquid red food color
1202,Dry Goods,teaspoon vanilla extract
1203,Oils,tablespoon vinegar
1204,Baking Goods,cup allpurpos flour
1205,Dry Goods,cup almond breez origin almondmilk
1206,Refrigerator,cup vegan butteri stick soften
1207,Baking Goods,cup granul sugar
1208,Dry Goods,teaspoon vanilla
1209,Dry Goods,ounc can dice tomato
1210,Produce,eggplant peel quarter cut round
1211,Produce,yellow squash halv slice
1212,Produce,zucchini cut round
1213,Household,cup water
1214,Produce,larg onion slice quarter
1215,Produce,ounc slice mushroom juic
1216,Oils,tablespoon extravirgin oliv oil
1217,Produce,tablespoon chop garlic
1218,Dry Goods,tablespoon dri oregano
1219,Dry Goods,salt tast
1220,Household,water cover
1221,Dry Goods,cup dri split pea
1222,Household,cup water need
1223,Dry Goods,teaspoon ground turmer
1224,Dry Goods,teaspoon ground dri chile pepper
1225,Dry Goods,teaspoon salt
1226,Refrigerator,tablespoon lemon juic
1227,Dry Goods,tablespoon tomato past
1228,Oils,tablespoon veget oil
1229,Produce,teaspoon minc garlic
1230,Dry Goods,teaspoon cumin seed
1231,Baking Goods,cup allpurpos flour
1232,Baking Goods,cup sugar
1233,Baking Goods,teaspoon bake powder
1234,Dry Goods,teaspoon salt
1235,Baking Goods,teaspoon bake soda
1236,Refrigerator,tablespoon vegan butter
1237,Dry Goods,cup delici dairi free hazelnut coconut milk creamer
1238,Household,cup dark chocol chip
1239,Produce,fresh peach fine chop
1240,Produce,larg cucumb dice
1241,Produce,roma tomato dice tast
1242,Produce,red onion dice
1243,Baking Goods,cup cream coconut
1244,Produce,cup chop fresh cilantro
1245,Produce,tablespoon lime juic
1246,Dry Goods,teaspoon chili powder tast
1247,Baking Goods,cook spray
1248,Produce,potato peel thinli slice
1249,Produce,onion thinli slice
1250,Dry Goods,salt ground black pepper tast
1251,Refrigerator,cup nondairi butter
1252,Baking Goods,cup allpurpos flour
1253,Dry Goods,cup veget broth
1254,Dry Goods,pinch paprika tast
1255,Dry Goods,cup sunflow seed
1256,Dry Goods,ounc can coconut milk divid
1257,Produce,cup red curri past tast divid
1258,Produce,cup chop fresh cilantro tast divid
1259,Produce,lime juic divid
1260,Dry Goods,teaspoon salt plu season
1261,Dry Goods,ounc packag elbow macaroni
1262,Dry Goods,ounc packag broccoli floret
1263,Dry Goods,pinch curri powder tast
1264,Dry Goods,tablespoon nutrit yeast
1265,Baking Goods,teaspoon white sugar
1266,Produce,small red onion thinli slice
1267,Produce,small yellow onion thinli slice
1268,Dry Goods,tablespoon salt
1269,Produce,jalapeno pepper seed minc
1270,Produce,clove garlic minc
1271,Dry Goods,teaspoon coriand
1272,Dry Goods,teaspoon chili powder
1273,Dry Goods,teaspoon ground turmer
1274,Dry Goods,teaspoon cumin
1275,Dry Goods,cup chickpea flour besan
1276,Household,tablespoon water need
1277,Baking Goods,cook spray
1278,Dry Goods,pound sugar snap pea
1279,Oils,tablespoon oliv oil
1280,Produce,tablespoon chop shallot
1281,Dry Goods,teaspoon chop fresh thyme
1282,Dry Goods,kosher salt tast
1283,Produce,kabocha squash cut wedg seed
1284,Dry Goods,sea salt tast
1285,Oils,tablespoon oliv oil need
1286,Refrigerator,cup fresh pink grapefruit juic
1287,Freezer,cup fresh frozen blueberri
1288,Baking Goods,cup white sugar tast
1289,Dry Goods,cup vodka option
1290,Oils,tablespoon oliv oil
1291,Produce,clove garlic chop
1292,Produce,tomato peel fine chop
1293,Baking Goods,teaspoon white sugar
1294,Household,cup water
1295,Produce,teaspoon chop fresh basil
1296,Dry Goods,salt pepper tast
1297,Dry Goods,cup vegetarian beef crumbl
1298,Produce,leaf napa cabbag chop
1299,Dry Goods,tablespoon soy sauc
1300,Produce,green onion dice
1301,Dry Goods,teaspoon chili garlic sauc
1302,Dry Goods,teaspoon sesam oil
1303,Dry Goods,salt ground black pepper tast
1304,Dry Goods,potstick wrapper
1305,Oils,tablespoon peanut oil
1306,Household,cup water
1307,Dry Goods,tablespoon cumin seed
1308,Dry Goods,teaspoon turmer
1309,Dry Goods,teaspoon ground cumin
1310,Dry Goods,teaspoon ground coriand
1311,Oils,tablespoon oliv oil
1312,Produce,onion dice
1313,Produce,clove garlic fine minc
1314,Dry Goods,ounc can veget broth
1315,Dry Goods,ounc petit dice tomato
1316,Dry Goods,cup red lentil
1317,Dry Goods,teaspoon kosher salt
1318,Dry Goods,teaspoon ground white pepper
1319,Dry Goods,pound fresh cranberri
1320,Baking Goods,cup white sugar
1321,Household,cup port
1322,Dry Goods,pinch salt
1323,Dry Goods,cinnamon stick
1324,Produce,head bok choy dice
1325,Dry Goods,ounc bamboo shoot drain dri dice
1326,Dry Goods,ounc water chestnut drain dri dice
1327,Produce,cup chop fresh cilantro
1328,Produce,scallion dice
1329,Dry Goods,tablespoon soy sauc tast
1330,Produce,small garlic clove minc
1331,Produce,teaspoon minc fresh ginger root
1332,Oils,cup oliv oil divid
1333,Refrigerator,ounc packag firm tofu dice
1334,Produce,larg portobello mushroom dice
1335,Dry Goods,ounc packag potstick wrapper
1336,Oils,tablespoon oliv oil
1337,Produce,onion chop
1338,Produce,stalk celeri chop
1339,Produce,cup pack babi spinach chop
1340,Household,cup water
1341,Refrigerator,ounc contain mediumfirm tofu dice small cube
1342,Dry Goods,teaspoon salt
1343,Baking Goods,tablespoon white miso past
1344,Dry Goods,ground black pepper tast
1345,Dry Goods,chili powder tast
1346,Dry Goods,ounc garbanzo bean drain rins
1347,Dry Goods,tablespoon tomato sauc
1348,Produce,cup slice celeri
1349,Produce,clove garlic minc
1350,Produce,small onion thinli slice
1351,Produce,small onion dice
1352,Oils,tablespoon distil white vinegar
1353,Dry Goods,tablespoon dill
1354,Dry Goods,ground black pepper tast
1355,Baking Goods,cup white sugar
1356,Refrigerator,cup peanut butter
1357,Dry Goods,teaspoon vanilla extract
1358,Dry Goods,teaspoon salt
1359,Baking Goods,cup allpurpos flour
1360,Dry Goods,cup cocoa powder
1361,Oils,cup canola oil
1362,Refrigerator,cup soy milk
1363,Oils,tablespoon peanut oil
1364,Produce,shallot fine chop
1365,Produce,cup onion chop
1366,Refrigerator,tablespoon vegan margarin
1367,Refrigerator,teaspoon lemon juic
1368,Dry Goods,teaspoon ground ginger
1369,Produce,clove garlic minc
1370,Dry Goods,teaspoon garam masala
1371,Dry Goods,teaspoon curri powder
1372,Dry Goods,teaspoon chili powder
1373,Dry Goods,teaspoon ground cumin
1374,Dry Goods,bay leaf
1375,Produce,cup tomato pure
1376,Refrigerator,cup soy milk
1377,Dry Goods,cup plain vegan yogurt
1378,Dry Goods,teaspoon cayenn pepper tast
1379,Dry Goods,pinch salt black pepper tast
1380,Oils,teaspoon peanut oil
1381,Refrigerator,ounc packag chickenstyl seitan cut strip cube
1382,Dry Goods,pinch cayenn pepper
1383,Baking Goods,tablespoon cornstarch
1384,Household,cup cold water
1385,Baking Goods,tablespoon cornstarch
1386,Produce,clove garlic crush
1387,Produce,teaspoon chop fresh ginger root divid
1388,Oils,cup veget oil divid
1389,Produce,small head broccoli cut floret
1390,Household,cup snow pea
1391,Produce,cup julien carrot
1392,Produce,cup halv green bean
1393,Dry Goods,tablespoon soy sauc
1394,Household,tablespoon water
1395,Produce,cup chop onion
1396,Dry Goods,tablespoon salt
1397,Oils,cup veget shorten
1398,Baking Goods,cup confection sugar
1399,Refrigerator,tablespoon soy milk
1400,Dry Goods,teaspoon vanilla extract
1401,Produce,larg sweet potato
1402,Baking Goods,cook spray
1403,Dry Goods,ounc can black bean rins drain
1404,Baking Goods,cup quick cook oat
1405,Produce,cup chop onion
1406,Dry Goods,tablespoon dijon mustard
1407,Dry Goods,teaspoon ground cumin
1408,Dry Goods,teaspoon freshli grate ginger
1409,Dry Goods,teaspoon salt
1410,Dry Goods,pinch ground cinnamon
1411,Produce,small red potato chop
1412,Produce,green appl core chop
1413,Baking Goods,cup purpos flour need
1414,Dry Goods,salt tast
1415,Oils,cup veget oil fri
1416,Baking Goods,pinch white sugar tast
1417,Oils,cup extravirgin oliv oil
1418,Produce,tablespoon lime juic
1419,Dry Goods,teaspoon kosher salt
1420,Dry Goods,teaspoon ground black pepper
1421,Dry Goods,teaspoon ground cumin
1422,Household,cup water
1423,Dry Goods,cup dri quinoa quinta
1424,Dry Goods,ounc black bean drain rins
1425,Dry Goods,ounc yellow corn kernel drain rins
1426,Produce,cup fine chop red bell pepper
1427,Produce,cup fine chop red onion
1428,Produce,cup fine chop fresh cilantro
1429,Dry Goods,ounc can tomato sauc
1430,Dry Goods,ounc can tomato past
1431,Produce,clove garlic minc
1432,Produce,onion chop
1433,Dry Goods,tablespoon dri rosemari
1434,Dry Goods,tablespoon dri oregano
1435,Dry Goods,tablespoon dri thyme
1436,Produce,tablespoon dri parsley
1437,Dry Goods,bay leaf
1438,Dry Goods,pinch crush red pepper flake
1439,Household,cup roll oat
1440,Dry Goods,ounc can coconut milk tast
1441,Dry Goods,tablespoon chia seed
1442,Produce,granni smith appl peel grate
